"","year","month","day","country","activity","disease"
"203",2003,5,18,"Brazil",0.109,"dengue"
"204",2003,5,18,"India",0.019,"dengue"
"205",2003,5,18,"Indonesia",0.061,"dengue"
"206",2003,5,18,"Mexico",0.069,"dengue"
"207",2003,5,18,"Philippines",0.057,"dengue"
"208",2003,5,18,"Singapore",0.151,"dengue"
"209",2003,5,18,"Thailand",NA,"dengue"
"210",2003,5,18,"Venezuela",0.202,"dengue"
"211",2003,5,25,"Argentina",0.039,"dengue"
"212",2003,5,25,"Bolivia",0.064,"dengue"
"213",2003,5,25,"Brazil",0.071,"dengue"
"214",2003,5,25,"India",0.015,"dengue"
"215",2003,5,25,"Indonesia",0.062,"dengue"
"216",2003,5,25,"Mexico",0.074,"dengue"
"217",2003,5,25,"Philippines",0.055,"dengue"
"218",2003,5,25,"Singapore",0.175,"dengue"
"219",2003,5,25,"Thailand",NA,"dengue"
"220",2003,5,25,"Venezuela",0.177,"dengue"
"221",2003,6,1,"Argentina",0.034,"dengue"
"222",2003,6,1,"Bolivia",0.058,"dengue"
"223",2003,6,1,"Brazil",0.08,"dengue"
"224",2003,6,1,"India",0.031,"dengue"
"225",2003,6,1,"Indonesia",0.082,"dengue"
"226",2003,6,1,"Mexico",0.079,"dengue"
"227",2003,6,1,"Philippines",0.062,"dengue"
"228",2003,6,1,"Singapore",0.161,"dengue"
"229",2003,6,1,"Thailand",NA,"dengue"
"230",2003,6,1,"Venezuela",0.192,"dengue"
"231",2003,6,8,"Argentina",0.039,"dengue"
"232",2003,6,8,"Bolivia",0.042,"dengue"
"233",2003,6,8,"Brazil",0.062,"dengue"
"234",2003,6,8,"India",0.05,"dengue"
"235",2003,6,8,"Indonesia",0.069,"dengue"
"236",2003,6,8,"Mexico",0.088,"dengue"
"237",2003,6,8,"Philippines",0.059,"dengue"
"238",2003,6,8,"Singapore",0.15,"dengue"
"239",2003,6,8,"Thailand",NA,"dengue"
"240",2003,6,8,"Venezuela",0.186,"dengue"
"241",2003,6,15,"Argentina",0.039,"dengue"
"242",2003,6,15,"Bolivia",0.047,"dengue"
"243",2003,6,15,"Brazil",0.036,"dengue"
"244",2003,6,15,"India",0.094,"dengue"
"245",2003,6,15,"Indonesia",0.055,"dengue"
"246",2003,6,15,"Mexico",0.074,"dengue"
"247",2003,6,15,"Philippines",0.059,"dengue"
"248",2003,6,15,"Singapore",0.163,"dengue"
"249",2003,6,15,"Thailand",NA,"dengue"
"250",2003,6,15,"Venezuela",0.178,"dengue"
"251",2003,6,22,"Argentina",0.039,"dengue"
"252",2003,6,22,"Bolivia",0.039,"dengue"
"253",2003,6,22,"Brazil",0.073,"dengue"
"254",2003,6,22,"India",0.165,"dengue"
"255",2003,6,22,"Indonesia",0.055,"dengue"
"256",2003,6,22,"Mexico",0.056,"dengue"
"257",2003,6,22,"Philippines",0.058,"dengue"
"258",2003,6,22,"Singapore",0.143,"dengue"
"259",2003,6,22,"Thailand",NA,"dengue"
"260",2003,6,22,"Venezuela",0.16,"dengue"
"261",2003,6,29,"Argentina",0.031,"dengue"
"262",2003,6,29,"Bolivia",0.038,"dengue"
"263",2003,6,29,"Brazil",0.056,"dengue"
"264",2003,6,29,"India",0.17,"dengue"
"265",2003,6,29,"Indonesia",0.047,"dengue"
"266",2003,6,29,"Mexico",0.071,"dengue"
"267",2003,6,29,"Philippines",0.058,"dengue"
"268",2003,6,29,"Singapore",0.132,"dengue"
"269",2003,6,29,"Thailand",NA,"dengue"
"270",2003,6,29,"Venezuela",0.172,"dengue"
"271",2003,7,6,"Argentina",0.034,"dengue"
"272",2003,7,6,"Bolivia",0.029,"dengue"
"273",2003,7,6,"Brazil",0.018,"dengue"
"274",2003,7,6,"India",0.195,"dengue"
"275",2003,7,6,"Indonesia",0.1,"dengue"
"276",2003,7,6,"Mexico",0.086,"dengue"
"277",2003,7,6,"Philippines",0.056,"dengue"
"278",2003,7,6,"Singapore",0.12,"dengue"
"279",2003,7,6,"Thailand",NA,"dengue"
"280",2003,7,6,"Venezuela",0.159,"dengue"
"281",2003,7,13,"Argentina",0.036,"dengue"
"282",2003,7,13,"Bolivia",0.023,"dengue"
"283",2003,7,13,"Brazil",0.015,"dengue"
"284",2003,7,13,"India",0.174,"dengue"
"285",2003,7,13,"Indonesia",0.073,"dengue"
"286",2003,7,13,"Mexico",0.072,"dengue"
"287",2003,7,13,"Philippines",0.057,"dengue"
"288",2003,7,13,"Singapore",0.129,"dengue"
"289",2003,7,13,"Thailand",NA,"dengue"
"290",2003,7,13,"Venezuela",0.161,"dengue"
"291",2003,7,20,"Argentina",0.029,"dengue"
"292",2003,7,20,"Bolivia",0.021,"dengue"
"293",2003,7,20,"Brazil",0.052,"dengue"
"294",2003,7,20,"India",0.187,"dengue"
"295",2003,7,20,"Indonesia",0.047,"dengue"
"296",2003,7,20,"Mexico",0.065,"dengue"
"297",2003,7,20,"Philippines",0.064,"dengue"
"298",2003,7,20,"Singapore",0.128,"dengue"
"299",2003,7,20,"Thailand",NA,"dengue"
"300",2003,7,20,"Venezuela",0.163,"dengue"
"301",2003,7,27,"Argentina",0.027,"dengue"
"302",2003,7,27,"Bolivia",0.018,"dengue"
"303",2003,7,27,"Brazil",0.013,"dengue"
"304",2003,7,27,"India",0.18,"dengue"
"305",2003,7,27,"Indonesia",0.049,"dengue"
"306",2003,7,27,"Mexico",0.068,"dengue"
"307",2003,7,27,"Philippines",0.064,"dengue"
"308",2003,7,27,"Singapore",0.123,"dengue"
"309",2003,7,27,"Thailand",NA,"dengue"
"310",2003,7,27,"Venezuela",0.153,"dengue"
"311",2003,8,3,"Argentina",0.024,"dengue"
"312",2003,8,3,"Bolivia",0.016,"dengue"
"313",2003,8,3,"Brazil",0.044,"dengue"
"314",2003,8,3,"India",0.116,"dengue"
"315",2003,8,3,"Indonesia",0.039,"dengue"
"316",2003,8,3,"Mexico",0.095,"dengue"
"317",2003,8,3,"Philippines",0.081,"dengue"
"318",2003,8,3,"Singapore",0.112,"dengue"
"319",2003,8,3,"Thailand",NA,"dengue"
"320",2003,8,3,"Venezuela",0.151,"dengue"
"321",2003,8,10,"Argentina",0.022,"dengue"
"322",2003,8,10,"Bolivia",0.019,"dengue"
"323",2003,8,10,"Brazil",0.036,"dengue"
"324",2003,8,10,"India",0.101,"dengue"
"325",2003,8,10,"Indonesia",0.039,"dengue"
"326",2003,8,10,"Mexico",0.092,"dengue"
"327",2003,8,10,"Philippines",0.091,"dengue"
"328",2003,8,10,"Singapore",0.131,"dengue"
"329",2003,8,10,"Thailand",NA,"dengue"
"330",2003,8,10,"Venezuela",0.15,"dengue"
"331",2003,8,17,"Argentina",0.022,"dengue"
"332",2003,8,17,"Bolivia",0.022,"dengue"
"333",2003,8,17,"Brazil",0.032,"dengue"
"334",2003,8,17,"India",0.1,"dengue"
"335",2003,8,17,"Indonesia",0.039,"dengue"
"336",2003,8,17,"Mexico",0.089,"dengue"
"337",2003,8,17,"Philippines",0.134,"dengue"
"338",2003,8,17,"Singapore",0.127,"dengue"
"339",2003,8,17,"Thailand",NA,"dengue"
"340",2003,8,17,"Venezuela",0.146,"dengue"
"341",2003,8,24,"Argentina",0.019,"dengue"
"342",2003,8,24,"Bolivia",0.018,"dengue"
"343",2003,8,24,"Brazil",0.034,"dengue"
"344",2003,8,24,"India",0.103,"dengue"
"345",2003,8,24,"Indonesia",0.064,"dengue"
"346",2003,8,24,"Mexico",0.063,"dengue"
"347",2003,8,24,"Philippines",0.163,"dengue"
"348",2003,8,24,"Singapore",0.116,"dengue"
"349",2003,8,24,"Thailand",NA,"dengue"
"350",2003,8,24,"Venezuela",0.152,"dengue"
"351",2003,8,31,"Argentina",0.019,"dengue"
"352",2003,8,31,"Bolivia",0.018,"dengue"
"353",2003,8,31,"Brazil",0.011,"dengue"
"354",2003,8,31,"India",0.135,"dengue"
"355",2003,8,31,"Indonesia",0.055,"dengue"
"356",2003,8,31,"Mexico",0.084,"dengue"
"357",2003,8,31,"Philippines",0.152,"dengue"
"358",2003,8,31,"Singapore",0.111,"dengue"
