"","year","month","day","country","activity","disease"
"239",2003,2,23,"Bulgaria",NA,"flu"
"240",2003,2,23,"Canada",NA,"flu"
"241",2003,2,23,"Chile",0,"flu"
"242",2003,2,23,"France",NA,"flu"
"243",2003,2,23,"Germany",NA,"flu"
"244",2003,2,23,"Hungary",NA,"flu"
"245",2003,2,23,"Japan",NA,"flu"
"246",2003,2,23,"Mexico",NA,"flu"
"247",2003,2,23,"Netherlands",NA,"flu"
"248",2003,2,23,"New.Zealand",NA,"flu"
"249",2003,2,23,"Norway",NA,"flu"
"250",2003,2,23,"Paraguay",NA,"flu"
"251",2003,2,23,"Peru",274,"flu"
"252",2003,2,23,"Poland",NA,"flu"
"253",2003,2,23,"Romania",740,"flu"
"254",2003,2,23,"Russia",NA,"flu"
"255",2003,2,23,"South.Africa",NA,"flu"
"256",2003,2,23,"Spain",NA,"flu"
"257",2003,2,23,"Sweden",NA,"flu"
"258",2003,2,23,"Switzerland",NA,"flu"
"259",2003,2,23,"Ukraine",NA,"flu"
"260",2003,2,23,"United.States",NA,"flu"
"261",2003,2,23,"Uruguay",NA,"flu"
"262",2003,3,2,"Argentina",134,"flu"
"263",2003,3,2,"Australia",NA,"flu"
"264",2003,3,2,"Austria",NA,"flu"
"265",2003,3,2,"Belgium",NA,"flu"
"266",2003,3,2,"Bolivia",427,"flu"
"267",2003,3,2,"Brazil",177,"flu"
"268",2003,3,2,"Bulgaria",NA,"flu"
"269",2003,3,2,"Canada",NA,"flu"
"270",2003,3,2,"Chile",0,"flu"
"271",2003,3,2,"France",NA,"flu"
"272",2003,3,2,"Germany",NA,"flu"
"273",2003,3,2,"Hungary",NA,"flu"
"274",2003,3,2,"Japan",NA,"flu"
"275",2003,3,2,"Mexico",NA,"flu"
"276",2003,3,2,"Netherlands",NA,"flu"
"277",2003,3,2,"New.Zealand",NA,"flu"
"278",2003,3,2,"Norway",NA,"flu"
"279",2003,3,2,"Paraguay",NA,"flu"
"280",2003,3,2,"Peru",270,"flu"
"281",2003,3,2,"Poland",NA,"flu"
"282",2003,3,2,"Romania",864,"flu"
"283",2003,3,2,"Russia",NA,"flu"
"284",2003,3,2,"South.Africa",NA,"flu"
"285",2003,3,2,"Spain",NA,"flu"
"286",2003,3,2,"Sweden",NA,"flu"
"287",2003,3,2,"Switzerland",NA,"flu"
"288",2003,3,2,"Ukraine",NA,"flu"
"289",2003,3,2,"United.States",NA,"flu"
"290",2003,3,2,"Uruguay",NA,"flu"
"291",2003,3,9,"Argentina",136,"flu"
"292",2003,3,9,"Australia",NA,"flu"
"293",2003,3,9,"Austria",NA,"flu"
"294",2003,3,9,"Belgium",NA,"flu"
"295",2003,3,9,"Bolivia",460,"flu"
"296",2003,3,9,"Brazil",223,"flu"
"297",2003,3,9,"Bulgaria",NA,"flu"
"298",2003,3,9,"Canada",NA,"flu"
"299",2003,3,9,"Chile",0,"flu"
"300",2003,3,9,"France",NA,"flu"
"301",2003,3,9,"Germany",NA,"flu"
"302",2003,3,9,"Hungary",NA,"flu"
"303",2003,3,9,"Japan",NA,"flu"
"304",2003,3,9,"Mexico",NA,"flu"
"305",2003,3,9,"Netherlands",NA,"flu"
"306",2003,3,9,"New.Zealand",NA,"flu"
"307",2003,3,9,"Norway",NA,"flu"
"308",2003,3,9,"Paraguay",NA,"flu"
"309",2003,3,9,"Peru",312,"flu"
"310",2003,3,9,"Poland",NA,"flu"
"311",2003,3,9,"Romania",824,"flu"
"312",2003,3,9,"Russia",NA,"flu"
"313",2003,3,9,"South.Africa",NA,"flu"
"314",2003,3,9,"Spain",NA,"flu"
"315",2003,3,9,"Sweden",NA,"flu"
"316",2003,3,9,"Switzerland",NA,"flu"
"317",2003,3,9,"Ukraine",NA,"flu"
"318",2003,3,9,"United.States",NA,"flu"
"319",2003,3,9,"Uruguay",NA,"flu"
"320",2003,3,16,"Argentina",134,"flu"
"321",2003,3,16,"Australia",NA,"flu"
"322",2003,3,16,"Austria",NA,"flu"
"323",2003,3,16,"Belgium",NA,"flu"
"324",2003,3,16,"Bolivia",541,"flu"
"325",2003,3,16,"Brazil",213,"flu"
"326",2003,3,16,"Bulgaria",NA,"flu"
"327",2003,3,16,"Canada",NA,"flu"
"328",2003,3,16,"Chile",1,"flu"
"329",2003,3,16,"France",NA,"flu"
"330",2003,3,16,"Germany",NA,"flu"
"331",2003,3,16,"Hungary",NA,"flu"
"332",2003,3,16,"Japan",NA,"flu"
"333",2003,3,16,"Mexico",NA,"flu"
"334",2003,3,16,"Netherlands",NA,"flu"
"335",2003,3,16,"New.Zealand",NA,"flu"
"336",2003,3,16,"Norway",NA,"flu"
"337",2003,3,16,"Paraguay",NA,"flu"
"338",2003,3,16,"Peru",350,"flu"
"339",2003,3,16,"Poland",NA,"flu"
"340",2003,3,16,"Romania",819,"flu"
"341",2003,3,16,"Russia",NA,"flu"
"342",2003,3,16,"South.Africa",NA,"flu"
"343",2003,3,16,"Spain",NA,"flu"
"344",2003,3,16,"Sweden",NA,"flu"
"345",2003,3,16,"Switzerland",NA,"flu"
"346",2003,3,16,"Ukraine",NA,"flu"
"347",2003,3,16,"United.States",NA,"flu"
"348",2003,3,16,"Uruguay",105,"flu"
"349",2003,3,23,"Argentina",153,"flu"
"350",2003,3,23,"Australia",NA,"flu"
"351",2003,3,23,"Austria",NA,"flu"
"352",2003,3,23,"Belgium",NA,"flu"
"353",2003,3,23,"Bolivia",549,"flu"
"354",2003,3,23,"Brazil",228,"flu"
"355",2003,3,23,"Bulgaria",NA,"flu"
"356",2003,3,23,"Canada",NA,"flu"
"357",2003,3,23,"Chile",1,"flu"
"358",2003,3,23,"France",NA,"flu"
"359",2003,3,23,"Germany",NA,"flu"
"360",2003,3,23,"Hungary",NA,"flu"
"361",2003,3,23,"Japan",NA,"flu"
"362",2003,3,23,"Mexico",NA,"flu"
"363",2003,3,23,"Netherlands",NA,"flu"
"364",2003,3,23,"New.Zealand",NA,"flu"
"365",2003,3,23,"Norway",NA,"flu"
"366",2003,3,23,"Paraguay",NA,"flu"
"367",2003,3,23,"Peru",340,"flu"
"368",2003,3,23,"Poland",NA,"flu"
"369",2003,3,23,"Romania",821,"flu"
"370",2003,3,23,"Russia",NA,"flu"
"371",2003,3,23,"South.Africa",NA,"flu"
"372",2003,3,23,"Spain",NA,"flu"
"373",2003,3,23,"Sweden",NA,"flu"
"374",2003,3,23,"Switzerland",NA,"flu"
"375",2003,3,23,"Ukraine",NA,"flu"
"376",2003,3,23,"United.States",NA,"flu"
"377",2003,3,23,"Uruguay",102,"flu"
"378",2003,3,30,"Argentina",158,"flu"
"379",2003,3,30,"Australia",NA,"flu"
"380",2003,3,30,"Austria",NA,"flu"
"381",2003,3,30,"Belgium",NA,"flu"
"382",2003,3,30,"Bolivia",647,"flu"
"383",2003,3,30,"Brazil",262,"flu"
"384",2003,3,30,"Bulgaria",NA,"flu"
"385",2003,3,30,"Canada",NA,"flu"
"386",2003,3,30,"Chile",2,"flu"
"387",2003,3,30,"France",NA,"flu"
"388",2003,3,30,"Germany",NA,"flu"
"389",2003,3,30,"Hungary",NA,"flu"
"390",2003,3,30,"Japan",NA,"flu"
"391",2003,3,30,"Mexico",NA,"flu"
"392",2003,3,30,"Netherlands",NA,"flu"
"393",2003,3,30,"New.Zealand",NA,"flu"
"394",2003,3,30,"Norway",NA,"flu"
"395",2003,3,30,"Paraguay",NA,"flu"
"396",2003,3,30,"Peru",301,"flu"
"397",2003,3,30,"Poland",NA,"flu"
"398",2003,3,30,"Romania",753,"flu"
"399",2003,3,30,"Russia",NA,"flu"
"400",2003,3,30,"South.Africa",NA,"flu"
"401",2003,3,30,"Spain",NA,"flu"
"402",2003,3,30,"Sweden",NA,"flu"
"403",2003,3,30,"Switzerland",NA,"flu"
"404",2003,3,30,"Ukraine",NA,"flu"
"405",2003,3,30,"United.States",NA,"flu"
"406",2003,3,30,"Uruguay",104,"flu"
"407",2003,4,6,"Argentina",187,"flu"
"408",2003,4,6,"Australia",NA,"flu"
"409",2003,4,6,"Austria",NA,"flu"
"410",2003,4,6,"Belgium",NA,"flu"
"411",2003,4,6,"Bolivia",636,"flu"
"412",2003,4,6,"Brazil",308,"flu"
"413",2003,4,6,"Bulgaria",NA,"flu"
"414",2003,4,6,"Canada",NA,"flu"
"415",2003,4,6,"Chile",1,"flu"
"416",2003,4,6,"France",NA,"flu"
